Card_Number,CardHolder_Name,Age,Gender,Balance,Points
4068142280037419,Matthew Marshall,33,Male,1928.6,4160
4946345129204102,Michael Smith,21,Female,2479.8,8125
4052314995848656,David Lynch,43,Male,4096.08,6900
4449611324543465,Dean Collins,28,Male,1800.99,7177
4238027394921729,Andrew Johnson,53,Male,2175.52,1019
4172180080882293,Jennifer Hudson,50,Female,3877.5,1158
4799001609290242,Oscar Clayton,24,Male,3090.88,7945
4392505938990966,David Hardy,43,Male,3690.47,3633
4052689575789739,Mitchell Miller,38,Female,3216.99,1186
4178044423280715,Stacy Mccormick,36,Male,4011.06,5770
4809130707214867,Thomas Arnold,57,Male,1957.16,4631
4207931382881793,Whitney Torres MD,48,Male,4457.84,5741
4771767569791848,Nicholas Brewer II,20,Female,4989.59,6595
4670311916901769,Paul Norman,23,Female,2507.07,851
4102243535993700,Michael Myers,59,Female,933.24,1844
4836253363331266,Barry Ochoa,23,Female,1394.27,2575
4113099065707155,Mary Woods,41,Male,1385.05,8466
4439526404810629,Amy Hernandez,35,Male,4362.55,8136
4987719014665731,William Skinner,58,Female,2209.29,4967
4340669362777155,Alyssa Green,23,Female,3758.0,3149
4364733341196523,James Travis,41,Male,3088.27,4067
4080064873129454,Julie Lindsey,18,Male,4964.53,4092
4422428750464282,Deborah Malone,62,Female,2202.83,7347
4847367704375333,Annette Brady,32,Male,3416.61,2676
4577760770751155,Anne Conner,30,Male,4402.58,2518
4657151140371826,Monica Cole,30,Female,4926.62,9195
4908761948214632,Larry Cooley,36,Female,955.85,3510
4873590817974666,Deanna Rhodes,25,Female,1165.81,314
4651875819466509,Melissa Daniels,39,Female,3874.6,6559
4795993374401976,Aaron Johnson,23,Female,4129.01,7802
4098455564155657,Ana Smith,28,Male,1375.78,1759
4982414564909086,Jenny Torres,37,Female,1083.83,1692
4468748631609249,Olivia Case,40,Female,2721.36,3235
4498632814685099,Adam Moore,67,Male,2080.93,7873
4153785658083450,Jennifer Lee,27,Female,3324.83,6698
4108048177944163,Connor Knight,37,Female,1492.35,9107
4618912379752321,Corey Webb,44,Female,2140.32,6781
4710840390275173,Ethan Lynch,34,Male,2864.7,1166
4282243607810521,Jeffrey Reyes,50,Female,1456.23,3827
4175304665686953,Rachel Skinner,57,Male,3896.37,7364
4139595062541471,Jennifer Rush,47,Male,697.19,7283
4668054957295813,Samuel Richardson,64,Male,4480.27,9682
4864246365036991,Jacqueline Lopez,54,Female,1298.06,4673
4685168997456436,Jesse Sosa,41,Male,2990.65,5281
4178246398469724,David Rice,40,Male,1000.42,964
4569097698507804,Carolyn Jackson,41,Male,3738.11,2976
4505890073375796,Steven Jones,53,Male,4871.65,1966
4024601875957059,Melissa Rubio,51,Male,1485.63,3612
4818054430767127,Brandi Levine,43,Male,2098.06,5252
4736626117622045,Christian Vance,21,Male,593.2,8674
4049593322930092,Chad Baxter,69,Male,2390.24,7490
4364003917273414,Angela George,65,Male,1585.42,3194
4833582806851825,Jennifer Reyes,21,Male,1158.85,2115
4342036509861517,Lisa Pena,20,Female,2272.12,3439
4659263298827960,Dr. Joseph Johnson,42,Female,1824.34,8762
4599611972391079,Nicole Cooper,37,Female,2019.75,6183
4659287253914715,Jennifer Miller,28,Female,3621.63,9149
4466209755341022,Kristen Nichols,59,Male,3027.98,9334
4403663884960160,Javier Logan,25,Female,4138.51,2608
4901006671298825,Jacob Tate,32,Male,4394.48,4995
4223838339523802,David Smith,30,Female,3759.55,8857
4596284184968398,Anthony Thompson,21,Male,1319.28,1936
4947708878255440,Autumn Weber,55,Female,4276.45,7464
4594835254588150,Jasmine Wagner,68,Female,4998.05,5833
4534267589492521,Jason Hendricks,46,Male,2013.17,7525
4344323269188287,Jose White,38,Female,1974.28,8877
4264899497924549,Joseph Ellis,66,Male,3921.71,3695
4517756986871008,Kiara Woods,44,Female,942.7,3112
4161881293530107,Lorraine Thomas,35,Female,2522.94,2987
4600375996345885,George Gallegos,59,Male,2678.23,5308
4545644621308722,Maria Allen,39,Male,4801.3,115
4982849274142062,Stephen Gomez,24,Female,1870.84,8337
4020713807234189,Joseph White,63,Male,1859.25,8882
4756302515327386,Jessica Rojas,38,Male,4857.22,5893
4360245822052599,Sheila Ramirez,50,Female,920.44,4302
4250143884361437,Anna Schultz,32,Male,796.52,5111
4765692242528851,Nicholas Johnson,63,Female,1086.34,5255
4107695624832662,Nichole Hernandez,50,Male,3417.68,874
4546777734787585,Michael Sharp,27,Male,506.89,1569
4474528347178555,Heather Robertson,68,Female,1075.65,5427
4147506375401440,Steven Rice,22,Male,983.96,6438
4233239487284096,Peter Lucero,51,Male,3983.56,5515
4273786563880716,Nancy Brown,68,Female,1554.73,8654
4648608133873237,Jasmine Wright,51,Male,1434.19,5760
4887137815364361,Sharon Blair,43,Female,4845.15,167
4011611556421494,Judy Taylor,23,Male,1377.06,5027
4003732654152916,Edward Allen,27,Female,4176.03,5612
4118866425167508,Rebecca Craig,22,Male,1390.96,8772
4018421673796447,Amber Blanchard,34,Female,4229.42,7086
4237737203555420,Philip Campbell,60,Female,4505.5,857
4538253927658803,John Bates,63,Male,4799.57,1194
4936415155290722,Susan Roman,70,Female,3978.43,3907
4552809951912965,Kendra Meyer,26,Female,3963.83,6924
4953735135941777,Dr. Willie Brennan,36,Female,2445.18,6126
4770951299421235,John Fisher,37,Female,4345.76,9944
4719115514875447,Christopher Griffin,64,Male,831.31,7834
4721011719115980,Cassidy Cross,38,Female,2965.11,4307
4592525823761350,Robert Vasquez,35,Male,1867.92,7224
4182777512228982,Sierra Ward,35,Male,2254.37,6192
4442859350565135,Ryan Edwards,38,Female,1344.01,5096
4971017274526527,Mrs. Cassandra Martinez,69,Male,1820.65,3188
4556560245813745,James Mathis DVM,55,Female,1984.05,1487
4978182822481811,Jill Hodge,29,Female,4859.46,9800
4017929525992599,Hannah Jacobson,23,Male,3017.84,7872
4576792268394318,Antonio Taylor,35,Male,2990.01,2560
4870388951642618,Daniel Randall,47,Female,4052.44,7050
4924343254207159,Danielle Short,58,Female,2911.95,7082
4948330356365836,Natalie Sullivan,52,Female,3726.69,8173
4146598562361476,Deborah Rodriguez,64,Female,1138.52,6471
4550771384627981,Jonathon Cruz,60,Female,744.69,5240
4523386355978033,Shannon Lane,54,Male,2009.12,1971
4707468452005198,Jessica Barber,60,Male,3306.42,9919
4173401457130869,Suzanne Owens,41,Female,1705.15,9466
4928191236743809,Javier Gibson,54,Male,3937.51,3631
4076478316516489,Michelle Turner,67,Male,2249.62,3149
4262762798867637,Aaron Daniels,52,Male,1892.08,5125
4451690858358664,Tiffany Chaney,68,Female,3052.74,1328
4339924295988711,Hannah Warren,41,Female,793.68,1103
4485675890854225,Melissa Kirby,70,Male,2985.33,6990
4567686486027549,Madeline Cannon,42,Male,3638.05,2475
4821947132601787,Alicia Riley,59,Female,4287.77,2785
4535403984048933,Daniel Jimenez,58,Male,4668.57,4373
4852234930701379,Troy Gomez,61,Male,4392.89,2085
4881517714091261,Suzanne Jones,32,Female,4081.16,943
4227244136915950,Brandon Torres,65,Male,1318.44,3678
4596006072855111,Jessica Lewis,26,Male,1513.25,7836
4431199887388483,Patrick Jones III,57,Female,3155.17,9555
4122572811117764,Cynthia Martin,60,Female,4827.26,7270
4826992604571161,Lucas Waters,64,Female,4997.17,48
4412630919143789,Charles Hicks,53,Female,4005.88,2682
4817615415302115,Benjamin Paul,40,Female,4956.16,7335
4905395457429852,Frank Dunn,23,Female,2220.31,9236
4600548314312638,Kimberly Robinson,54,Male,4528.89,4597
4301600559442583,Jake Aguilar,49,Male,3359.13,8455
4750550136121737,Alvin Smith II,35,Female,2058.95,2985
4072919048274475,Michael Johnson,21,Male,1404.79,4592
4305062358969707,James Melton Jr.,31,Female,4376.01,5509
4087857466205047,Dustin Price,60,Male,3488.1,9288
4050636976845723,Wayne Lewis,70,Male,2709.46,2459
4984321001513201,Mrs. Nicole Myers,55,Male,3364.82,2827
4358414202953329,Aaron Schmidt,41,Female,3705.43,3062
4944185011532027,Steven Baker,19,Male,2956.38,3345
4110188894296083,Sydney Miller,21,Female,3158.09,9806
4437614649310564,Daniel Smith,23,Female,2098.72,3513
4355583180999523,Angela Powers,25,Male,3012.39,2751
4082893905774461,Anita Ford,65,Male,857.22,8843
4139216781527519,Becky Knox,46,Male,934.02,9063
4738194562602339,Janet Baxter,25,Male,1370.56,3469
4012679219035603,James Humphrey,39,Male,4215.06,2375
4048590338959905,Max Garcia,36,Male,4602.87,2104
4655538433434557,Shannon Perez,32,Male,2606.66,1200
4657576764912266,Kathleen Kelley,28,Female,1157.31,4008
4003240919181445,Michelle Fowler,67,Female,2470.92,6008
4849845857545612,Edward Palmer,20,Male,4346.01,876
4175327844792536,Tyler Romero,19,Male,3507.72,6656
4825841865670208,Robert Bass,37,Female,4719.36,2190
4683473666196751,Cynthia Mcconnell,35,Female,3022.64,9556
4435793609171959,Maria Marshall,61,Male,3511.89,1042
4821380135088941,Scott Anderson,52,Female,3889.12,106
4590879894527357,Carly Little,61,Female,3464.27,9811
4429856235939965,Jeffrey Nelson,34,Female,4515.5,5423
4859132704137848,William Porter,59,Female,2305.76,6253
4769492752536805,Michelle Kent,18,Female,3040.18,5970
4562875273914117,Andrew Kerr,26,Male,3212.57,2617
4243959647214218,Amanda Wong,52,Female,2182.04,7065
